"EVALUACIÓN";"ENSEÑANZA";"ESTUDIO";"GRUPO";"Nº ALU. GRUPO";"ITEM";"PA-Nº";"PA-%";"AD-Nº";"AD-%";"MA-Nº";"MA-%";"EX-Nº";"EX-%";"NO EVA.-Nº";"NO EVA.-%"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"25";"Comunicación lingüística";"13";"52";"10";"40";"1";"4";"1";"4";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"25";"Competencia matemática y competencias básicas en ciencia y tecnología";"11";"44";"8";"32";"6";"24";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"25";"Competencia digital";"6";"24";"18";"72";"1";"4";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"25";"Aprender a aprender";"11";"44";"11";"44";"3";"12";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"25";"Competencias sociales y cívicas";"6";"24";"17";"68";"2";"8";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"25";"Sentido de iniciativa y espíritu emprendedor";"14";"56";"10";"40";"1";"4";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"25";"Conciencia y expresiones culturales";"7";"28";"17";"68";"1";"4";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"22";"Comunicación lingüística";"8";"36";"10";"45";"4";"18";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"22";"Competencia matemática y competencias básicas en ciencia y tecnología";"8";"36";"11";"50";"3";"14";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"22";"Competencia digital";"2";"9";"18";"82";"2";"9";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"22";"Aprender a aprender";"7";"32";"12";"55";"3";"14";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"22";"Competencias sociales y cívicas";"6";"27";"14";"64";"2";"9";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"22";"Sentido de iniciativa y espíritu emprendedor";"5";"23";"14";"64";"3";"14";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"22";"Conciencia y expresiones culturales";"3";"14";"15";"68";"4";"18";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"25";"Comunicación lingüística";"8";"32";"9";"36";"7";"28";"1";"4";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"25";"Competencia matemática y competencias básicas en ciencia y tecnología";"9";"36";"9";"36";"6";"24";"1";"4";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"25";"Competencia digital";"8";"32";"10";"40";"7";"28";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"25";"Aprender a aprender";"9";"36";"8";"32";"6";"24";"2";"8";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"25";"Competencias sociales y cívicas";"7";"28";"11";"44";"6";"24";"1";"4";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"25";"Sentido de iniciativa y espíritu emprendedor";"8";"32";"10";"40";"5";"20";"2";"8";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"25";"Conciencia y expresiones culturales";"4";"16";"17";"68";"3";"12";"1";"4";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"27";"Comunicación lingüística";"8";"30";"14";"52";"4";"15";"1";"4";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"27";"Competencia matemática y competencias básicas en ciencia y tecnología";"10";"37";"13";"48";"4";"15";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"27";"Competencia digital";"2";"7";"23";"85";"2";"7";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"27";"Aprender a aprender";"8";"30";"16";"59";"2";"7";"1";"4";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"27";"Competencias sociales y cívicas";"5";"19";"21";"78";"1";"4";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"27";"Sentido de iniciativa y espíritu emprendedor";"6";"22";"20";"74";"1";"4";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"27";"Conciencia y expresiones culturales";"5";"19";"20";"74";"2";"7";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"99";"Comunicación lingüística";"37";"37";"43";"43";"16";"16";"3";"3";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"99";"Competencia matemática y competencias básicas en ciencia y tecnología";"38";"38";"41";"41";"19";"19";"1";"1";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"99";"Competencia digital";"18";"18";"69";"70";"12";"12";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"99";"Aprender a aprender";"35";"35";"47";"47";"14";"14";"3";"3";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"99";"Competencias sociales y cívicas";"24";"24";"63";"64";"11";"11";"1";"1";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"99";"Sentido de iniciativa y espíritu emprendedor";"33";"33";"54";"55";"10";"10";"2";"2";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"99";"Conciencia y expresiones culturales";"19";"19";"69";"70";"10";"10";"1";"1";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2A";"29";"Comunicación lingüística";"9";"31";"16";"55";"4";"14";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2A";"29";"Competencia matemática y competencias básicas en ciencia y tecnología";"13";"45";"14";"48";"2";"7";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2A";"29";"Competencia digital";"6";"21";"19";"66";"4";"14";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2A";"29";"Aprender a aprender";"7";"24";"18";"62";"4";"14";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2A";"29";"Competencias sociales y cívicas";"5";"17";"16";"55";"8";"28";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2A";"29";"Sentido de iniciativa y espíritu emprendedor";"7";"24";"18";"62";"4";"14";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2A";"29";"Conciencia y expresiones culturales";"5";"17";"22";"76";"1";"3";"1";"3";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2B";"29";"Comunicación lingüística";"11";"38";"11";"38";"7";"24";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2B";"29";"Competencia matemática y competencias básicas en ciencia y tecnología";"14";"48";"7";"24";"8";"28";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2B";"29";"Competencia digital";"9";"31";"15";"52";"4";"14";"1";"3";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2B";"29";"Aprender a aprender";"10";"34";"11";"38";"6";"21";"2";"7";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2B";"29";"Competencias sociales y cívicas";"8";"28";"10";"34";"9";"31";"2";"7";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2B";"29";"Sentido de iniciativa y espíritu emprendedor";"12";"41";"10";"34";"6";"21";"1";"3";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2B";"29";"Conciencia y expresiones culturales";"8";"28";"14";"48";"4";"14";"3";"10";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2C";"18";"Comunicación lingüística";"5";"28";"9";"50";"3";"17";"0";"0";"1";"6"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2C";"18";"Competencia matemática y competencias básicas en ciencia y tecnología";"7";"39";"6";"33";"4";"22";"0";"0";"1";"6"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2C";"18";"Competencia digital";"4";"22";"11";"61";"2";"11";"0";"0";"1";"6"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2C";"18";"Aprender a aprender";"6";"33";"8";"44";"2";"11";"1";"6";"1";"6"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2C";"18";"Competencias sociales y cívicas";"6";"33";"6";"33";"5";"28";"0";"0";"1";"6"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2C";"18";"Sentido de iniciativa y espíritu emprendedor";"5";"28";"6";"33";"6";"33";"0";"0";"1";"6"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2C";"18";"Conciencia y expresiones culturales";"5";"28";"7";"39";"4";"22";"1";"6";"1";"6"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"76";"Comunicación lingüística";"25";"33";"36";"47";"14";"18";"0";"0";"1";"1"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"76";"Competencia matemática y competencias básicas en ciencia y tecnología";"34";"45";"27";"36";"14";"18";"0";"0";"1";"1"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"76";"Competencia digital";"19";"25";"45";"59";"10";"13";"1";"1";"1";"1"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"76";"Aprender a aprender";"23";"30";"37";"49";"12";"16";"3";"4";"1";"1"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"76";"Competencias sociales y cívicas";"19";"25";"32";"42";"22";"29";"2";"3";"1";"1"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"76";"Sentido de iniciativa y espíritu emprendedor";"24";"32";"34";"45";"16";"21";"1";"1";"1";"1"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"76";"Conciencia y expresiones culturales";"18";"24";"43";"57";"9";"12";"5";"7";"1";"1"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"Primer curso del Programa de Mejora del Aprendizaje y el Rendimiento (LOMCE)";"ESO2Z";"13";"Comunicación lingüística";"7";"54";"6";"46";"0";"0";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"Primer curso del Programa de Mejora del Aprendizaje y el Rendimiento (LOMCE)";"ESO2Z";"13";"Competencia matemática y competencias básicas en ciencia y tecnología";"7";"54";"6";"46";"0";"0";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"Primer curso del Programa de Mejora del Aprendizaje y el Rendimiento (LOMCE)";"ESO2Z";"13";"Competencia digital";"6";"46";"7";"54";"0";"0";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"Primer curso del Programa de Mejora del Aprendizaje y el Rendimiento (LOMCE)";"ESO2Z";"13";"Aprender a aprender";"12";"92";"1";"8";"0";"0";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"Primer curso del Programa de Mejora del Aprendizaje y el Rendimiento (LOMCE)";"ESO2Z";"13";"Competencias sociales y cívicas";"8";"62";"5";"38";"0";"0";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"Primer curso del Programa de Mejora del Aprendizaje y el Rendimiento (LOMCE)";"ESO2Z";"13";"Sentido de iniciativa y espíritu emprendedor";"10";"77";"3";"23";"0";"0";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"Primer curso del Programa de Mejora del Aprendizaje y el Rendimiento (LOMCE)";"ESO2Z";"13";"Conciencia y expresiones culturales";"10";"77";"3";"23";"0";"0";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"Primer curso del Programa de Mejora del Aprendizaje y el Rendimiento (LOMCE)";"TOTAL ESTUDIO";"13";"Comunicación lingüística";"7";"54";"6";"46";"0";"0";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"Primer curso del Programa de Mejora del Aprendizaje y el Rendimiento (LOMCE)";"TOTAL ESTUDIO";"13";"Competencia matemática y competencias básicas en ciencia y tecnología";"7";"54";"6";"46";"0";"0";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"Primer curso del Programa de Mejora del Aprendizaje y el Rendimiento (LOMCE)";"TOTAL ESTUDIO";"13";"Competencia digital";"6";"46";"7";"54";"0";"0";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"Primer curso del Programa de Mejora del Aprendizaje y el Rendimiento (LOMCE)";"TOTAL ESTUDIO";"13";"Aprender a aprender";"12";"92";"1";"8";"0";"0";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"Primer curso del Programa de Mejora del Aprendizaje y el Rendimiento (LOMCE)";"TOTAL ESTUDIO";"13";"Competencias sociales y cívicas";"8";"62";"5";"38";"0";"0";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"Primer curso del Programa de Mejora del Aprendizaje y el Rendimiento (LOMCE)";"TOTAL ESTUDIO";"13";"Sentido de iniciativa y espíritu emprendedor";"10";"77";"3";"23";"0";"0";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"Primer curso del Programa de Mejora del Aprendizaje y el Rendimiento (LOMCE)";"TOTAL ESTUDIO";"13";"Conciencia y expresiones culturales";"10";"77";"3";"23";"0";"0";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"3º Educación Secundaria Obligatoria (LOMCE)";"ESO3A";"28";"Comunicación lingüística";"15";"54";"9";"32";"2";"7";"2";"7";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"3º Educación Secundaria Obligatoria (LOMCE)";"ESO3A";"28";"Competencia matemática y competencias básicas en ciencia y tecnología";"10";"36";"15";"54";"1";"4";"2";"7";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"3º Educación Secundaria Obligatoria (LOMCE)";"ESO3A";"28";"Competencia digital";"6";"21";"19";"68";"1";"4";"2";"7";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"3º Educación Secundaria Obligatoria (LOMCE)";"ESO3A";"28";"Aprender a aprender";"16";"57";"7";"25";"3";"11";"2";"7";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"3º Educación Secundaria Obligatoria (LOMCE)";"ESO3A";"28";"Competencias sociales y cívicas";"13";"46";"10";"36";"3";"11";"2";"7";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"3º Educación Secundaria Obligatoria (LOMCE)";"ESO3A";"28";"Sentido de iniciativa y espíritu emprendedor";"11";"39";"13";"46";"1";"4";"2";"7";"1";"4"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"3º Educación Secundaria Obligatoria (LOMCE)";"ESO3A";"28";"Conciencia y expresiones culturales";"9";"32";"14";"50";"3";"11";"2";"7";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"3º Educación Secundaria Obligatoria (LOMCE)";"ESO3B";"27";"Comunicación lingüística";"17";"63";"9";"33";"1";"4";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"3º Educación Secundaria Obligatoria (LOMCE)";"ESO3B";"27";"Competencia matemática y competencias básicas en ciencia y tecnología";"19";"70";"8";"30";"0";"0";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"3º Educación Secundaria Obligatoria (LOMCE)";"ESO3B";"27";"Competencia digital";"8";"30";"19";"70";"0";"0";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"3º Educación Secundaria Obligatoria (LOMCE)";"ESO3B";"27";"Aprender a aprender";"14";"52";"10";"37";"2";"7";"0";"0";"1";"4"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"3º Educación Secundaria Obligatoria (LOMCE)";"ESO3B";"27";"Competencias sociales y cívicas";"14";"52";"10";"37";"3";"11";"0";"0";"0";"0"
