"EVALUACIÓN";"ENSEÑANZA";"ESTUDIO";"GRUPO";"Nº ALU. GRUPO";"ITEM";"PA-Nº";"PA-%";"AD-Nº";"AD-%";"MA-Nº";"MA-%";"EX-Nº";"EX-%";"NO EVA.-Nº";"NO EVA.-%"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"4º Educación Secundaria Obligatoria (LOMCE)";"ESO4A";"26";"Comunicación lingüística";"9";"35";"13";"50";"4";"15";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"4º Educación Secundaria Obligatoria (LOMCE)";"ESO4A";"26";"Competencia matemática y competencias básicas en ciencia y tecnología";"12";"46";"9";"35";"5";"19";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"4º Educación Secundaria Obligatoria (LOMCE)";"ESO4A";"26";"Competencia digital";"2";"8";"22";"85";"2";"8";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"4º Educación Secundaria Obligatoria (LOMCE)";"ESO4A";"26";"Aprender a aprender";"4";"15";"18";"69";"4";"15";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"4º Educación Secundaria Obligatoria (LOMCE)";"ESO4A";"26";"Competencias sociales y cívicas";"5";"19";"18";"69";"3";"12";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"4º Educación Secundaria Obligatoria (LOMCE)";"ESO4A";"26";"Sentido de iniciativa y espíritu emprendedor";"3";"12";"18";"69";"5";"19";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"4º Educación Secundaria Obligatoria (LOMCE)";"ESO4A";"26";"Conciencia y expresiones culturales";"2";"8";"19";"73";"5";"19";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"4º Educación Secundaria Obligatoria (LOMCE)";"ESO4B";"29";"Comunicación lingüística";"5";"17";"19";"66";"5";"17";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"4º Educación Secundaria Obligatoria (LOMCE)";"ESO4B";"29";"Competencia matemática y competencias básicas en ciencia y tecnología";"11";"38";"14";"48";"3";"10";"1";"3";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"4º Educación Secundaria Obligatoria (LOMCE)";"ESO4B";"29";"Competencia digital";"0";"0";"24";"83";"5";"17";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"4º Educación Secundaria Obligatoria (LOMCE)";"ESO4B";"29";"Aprender a aprender";"6";"21";"18";"62";"4";"14";"1";"3";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"4º Educación Secundaria Obligatoria (LOMCE)";"ESO4B";"29";"Competencias sociales y cívicas";"1";"3";"20";"69";"8";"28";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"4º Educación Secundaria Obligatoria (LOMCE)";"ESO4B";"29";"Sentido de iniciativa y espíritu emprendedor";"4";"14";"16";"55";"9";"31";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"4º Educación Secundaria Obligatoria (LOMCE)";"ESO4B";"29";"Conciencia y expresiones culturales";"0";"0";"21";"72";"8";"28";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"4º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"55";"Comunicación lingüística";"14";"25";"32";"58";"9";"16";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"4º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"55";"Competencia matemática y competencias básicas en ciencia y tecnología";"23";"42";"23";"42";"8";"15";"1";"2";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"4º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"55";"Competencia digital";"2";"4";"46";"84";"7";"13";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"4º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"55";"Aprender a aprender";"10";"18";"36";"65";"8";"15";"1";"2";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"4º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"55";"Competencias sociales y cívicas";"6";"11";"38";"69";"11";"20";"0";"0";"0";"0"
