"EVALUACIÓN";"ENSEÑANZA";"ESTUDIO";"GRUPO";"Nº ALU. GRUPO";"ITEM";"PA-Nº";"PA-%";"AD-Nº";"AD-%";"MA-Nº";"MA-%";"EX-Nº";"EX-%";"NO EVA.-Nº";"NO EVA.-%"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"25";"Comunicación lingüística";"5";"20";"18";"72";"2";"8";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"25";"Competencia matemática y competencias básicas en ciencia y tecnología";"7";"28";"15";"60";"3";"12";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"25";"Competencia digital";"2";"8";"19";"76";"4";"16";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"25";"Aprender a aprender";"6";"24";"17";"68";"2";"8";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"25";"Competencias sociales y cívicas";"4";"16";"19";"76";"2";"8";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"25";"Sentido de iniciativa y espíritu emprendedor";"5";"20";"18";"72";"2";"8";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"25";"Conciencia y expresiones culturales";"2";"8";"21";"84";"2";"8";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"26";"Comunicación lingüística";"4";"15";"15";"58";"7";"27";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"26";"Competencia matemática y competencias básicas en ciencia y tecnología";"2";"8";"17";"65";"5";"19";"2";"8";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"26";"Competencia digital";"2";"8";"16";"62";"7";"27";"1";"4";"0";"0"
