"EVALUACIÓN";"ENSEÑANZA";"ESTUDIO";"GRUPO";"Nº ALU. GRUPO";"ITEM";"PA-Nº";"PA-%";"AD-Nº";"AD-%";"MA-Nº";"MA-%";"EX-Nº";"EX-%";"NO EVA.-Nº";"NO EVA.-%"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"20";"Comunicación lingüística";"10";"50";"9";"45";"1";"5";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"20";"Competencia matemática y competencias básicas en ciencia y tecnología";"9";"45";"8";"40";"2";"10";"1";"5";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"20";"Competencia digital";"5";"25";"13";"65";"2";"10";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"20";"Aprender a aprender";"9";"45";"9";"45";"2";"10";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"20";"Competencias sociales y cívicas";"9";"45";"10";"50";"1";"5";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"20";"Sentido de iniciativa y espíritu emprendedor";"10";"50";"8";"40";"2";"10";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"20";"Conciencia y expresiones culturales";"6";"30";"12";"60";"2";"10";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"19";"Comunicación lingüística";"5";"26";"10";"53";"3";"16";"1";"5";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"19";"Competencia matemática y competencias básicas en ciencia y tecnología";"3";"16";"11";"58";"4";"21";"1";"5";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"19";"Competencia digital";"2";"11";"12";"63";"4";"21";"1";"5";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"19";"Aprender a aprender";"4";"21";"11";"58";"3";"16";"1";"5";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"19";"Competencias sociales y cívicas";"2";"11";"15";"79";"0";"0";"2";"11";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"19";"Sentido de iniciativa y espíritu emprendedor";"4";"21";"11";"58";"3";"16";"1";"5";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"19";"Conciencia y expresiones culturales";"2";"11";"13";"68";"3";"16";"1";"5";"0";"0"
