"EVALUACIÓN";"ENSEÑANZA";"ESTUDIO";"GRUPO";"Nº ALU. GRUPO";"ITEM";"PA-Nº";"PA-%";"AD-Nº";"AD-%";"MA-Nº";"MA-%";"EX-Nº";"EX-%";"NO EVA.-Nº";"NO EVA.-%"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"20";"Comunicación lingüística";"12";"60";"8";"40";"0";"0";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"20";"Competencia matemática y competencias básicas en ciencia y tecnología";"12";"60";"6";"30";"2";"10";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"20";"Competencia digital";"6";"30";"14";"70";"0";"0";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"20";"Aprender a aprender";"11";"55";"7";"35";"2";"10";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"20";"Competencias sociales y cívicas";"9";"45";"11";"55";"0";"0";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"20";"Sentido de iniciativa y espíritu emprendedor";"9";"45";"11";"55";"0";"0";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"20";"Conciencia y expresiones culturales";"5";"25";"13";"65";"2";"10";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"19";"Comunicación lingüística";"4";"21";"15";"79";"0";"0";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"19";"Competencia matemática y competencias básicas en ciencia y tecnología";"6";"32";"9";"47";"3";"16";"1";"5";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"19";"Competencia digital";"2";"11";"15";"79";"2";"11";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"19";"Aprender a aprender";"4";"21";"11";"58";"3";"16";"1";"5";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"19";"Competencias sociales y cívicas";"6";"32";"12";"63";"0";"0";"1";"5";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"19";"Sentido de iniciativa y espíritu emprendedor";"3";"16";"15";"79";"1";"5";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"19";"Conciencia y expresiones culturales";"1";"5";"17";"89";"1";"5";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"25";"Comunicación lingüística";"11";"44";"13";"52";"1";"4";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"25";"Competencia matemática y competencias básicas en ciencia y tecnología";"5";"20";"17";"68";"3";"12";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"25";"Competencia digital";"6";"24";"18";"72";"1";"4";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"25";"Aprender a aprender";"9";"36";"14";"56";"2";"8";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"25";"Competencias sociales y cívicas";"11";"44";"14";"56";"0";"0";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"25";"Sentido de iniciativa y espíritu emprendedor";"11";"44";"12";"48";"2";"8";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"25";"Conciencia y expresiones culturales";"8";"32";"17";"68";"0";"0";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"64";"Comunicación lingüística";"27";"42";"36";"56";"1";"2";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"64";"Competencia matemática y competencias básicas en ciencia y tecnología";"23";"36";"32";"50";"8";"12";"1";"2";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"64";"Competencia digital";"14";"22";"47";"73";"3";"5";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"64";"Aprender a aprender";"24";"38";"32";"50";"7";"11";"1";"2";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"64";"Competencias sociales y cívicas";"26";"41";"37";"58";"0";"0";"1";"2";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"64";"Sentido de iniciativa y espíritu emprendedor";"23";"36";"38";"59";"3";"5";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"64";"Conciencia y expresiones culturales";"14";"22";"47";"73";"3";"5";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2A";"28";"Comunicación lingüística";"2";"7";"17";"61";"9";"32";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2A";"28";"Competencia matemática y competencias básicas en ciencia y tecnología";"13";"46";"11";"39";"4";"14";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2A";"28";"Competencia digital";"5";"18";"20";"71";"3";"11";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2A";"28";"Aprender a aprender";"6";"21";"17";"61";"5";"18";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2A";"28";"Competencias sociales y cívicas";"5";"18";"19";"68";"4";"14";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2A";"28";"Sentido de iniciativa y espíritu emprendedor";"6";"21";"21";"75";"1";"4";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2A";"28";"Conciencia y expresiones culturales";"7";"25";"18";"64";"3";"11";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2B";"28";"Comunicación lingüística";"7";"25";"14";"50";"6";"21";"1";"4";"0";"0"
