"EVALUACIÓN";"ENSEÑANZA";"ESTUDIO";"GRUPO";"Nº ALU. GRUPO";"ITEM";"PA-Nº";"PA-%";"AD-Nº";"AD-%";"MA-Nº";"MA-%";"EX-Nº";"EX-%";"NO EVA.-Nº";"NO EVA.-%"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"25";"Comunicación lingüística";"10";"40";"11";"44";"3";"12";"1";"4";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"25";"Competencia matemática y competencias básicas en ciencia y tecnología";"11";"44";"12";"48";"1";"4";"1";"4";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"25";"Competencia digital";"5";"20";"18";"72";"1";"4";"1";"4";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"25";"Aprender a aprender";"8";"32";"12";"48";"4";"16";"1";"4";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"25";"Competencias sociales y cívicas";"3";"12";"19";"76";"3";"12";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"25";"Sentido de iniciativa y espíritu emprendedor";"10";"40";"11";"44";"3";"12";"1";"4";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"25";"Conciencia y expresiones culturales";"6";"24";"17";"68";"2";"8";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"26";"Comunicación lingüística";"8";"31";"14";"54";"3";"12";"1";"4";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"26";"Competencia matemática y competencias básicas en ciencia y tecnología";"13";"50";"8";"31";"4";"15";"1";"4";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"26";"Competencia digital";"3";"12";"18";"69";"5";"19";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"26";"Aprender a aprender";"11";"42";"10";"38";"4";"15";"1";"4";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"26";"Competencias sociales y cívicas";"3";"12";"18";"69";"5";"19";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"26";"Sentido de iniciativa y espíritu emprendedor";"13";"50";"9";"35";"4";"15";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"26";"Conciencia y expresiones culturales";"3";"12";"15";"58";"8";"31";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"28";"Comunicación lingüística";"10";"36";"13";"46";"5";"18";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"28";"Competencia matemática y competencias básicas en ciencia y tecnología";"14";"50";"9";"32";"5";"18";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"28";"Competencia digital";"3";"11";"21";"75";"4";"14";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"28";"Aprender a aprender";"10";"36";"13";"46";"3";"11";"2";"7";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"28";"Competencias sociales y cívicas";"5";"18";"16";"57";"5";"18";"2";"7";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"28";"Sentido de iniciativa y espíritu emprendedor";"12";"43";"12";"43";"4";"14";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"28";"Conciencia y expresiones culturales";"6";"21";"16";"57";"5";"18";"1";"4";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"27";"Comunicación lingüística";"8";"30";"10";"37";"7";"26";"2";"7";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"27";"Competencia matemática y competencias básicas en ciencia y tecnología";"14";"52";"7";"26";"5";"19";"1";"4";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"27";"Competencia digital";"7";"26";"11";"41";"8";"30";"1";"4";"0";"0"
