"EVALUACIÓN";"ENSEÑANZA";"ESTUDIO";"GRUPO";"Nº ALU. GRUPO";"ITEM";"PA-Nº";"PA-%";"AD-Nº";"AD-%";"MA-Nº";"MA-%";"EX-Nº";"EX-%";"NO EVA.-Nº";"NO EVA.-%"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"21";"Comunicación lingüística";"8";"38";"11";"52";"2";"10";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"21";"Competencia matemática y competencias básicas en ciencia y tecnología";"10";"48";"8";"38";"3";"14";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"21";"Competencia digital";"3";"14";"11";"52";"7";"33";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"21";"Aprender a aprender";"7";"33";"12";"57";"2";"10";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"21";"Competencias sociales y cívicas";"2";"10";"12";"57";"5";"24";"2";"10";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"21";"Sentido de iniciativa y espíritu emprendedor";"7";"33";"13";"62";"1";"5";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"21";"Conciencia y expresiones culturales";"5";"24";"9";"43";"7";"33";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"22";"Comunicación lingüística";"8";"36";"10";"45";"4";"18";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"22";"Competencia matemática y competencias básicas en ciencia y tecnología";"8";"36";"11";"50";"3";"14";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"22";"Competencia digital";"0";"0";"19";"86";"2";"9";"1";"5";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"22";"Aprender a aprender";"4";"18";"14";"64";"3";"14";"1";"5";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"22";"Competencias sociales y cívicas";"0";"0";"17";"77";"4";"18";"1";"5";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"22";"Sentido de iniciativa y espíritu emprendedor";"2";"9";"15";"68";"4";"18";"1";"5";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"22";"Conciencia y expresiones culturales";"0";"0";"18";"82";"2";"9";"2";"9";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"22";"Comunicación lingüística";"7";"32";"9";"41";"4";"18";"2";"9";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"22";"Competencia matemática y competencias básicas en ciencia y tecnología";"7";"32";"9";"41";"4";"18";"2";"9";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"22";"Competencia digital";"1";"5";"18";"82";"1";"5";"2";"9";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"22";"Aprender a aprender";"7";"32";"9";"41";"4";"18";"2";"9";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"22";"Competencias sociales y cívicas";"1";"5";"17";"77";"1";"5";"3";"14";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"22";"Sentido de iniciativa y espíritu emprendedor";"5";"23";"13";"59";"2";"9";"2";"9";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"22";"Conciencia y expresiones culturales";"0";"0";"18";"82";"3";"14";"1";"5";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"22";"Comunicación lingüística";"9";"41";"10";"45";"3";"14";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"22";"Competencia matemática y competencias básicas en ciencia y tecnología";"13";"59";"8";"36";"1";"5";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"22";"Competencia digital";"2";"9";"18";"82";"2";"9";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"22";"Aprender a aprender";"7";"32";"13";"59";"2";"9";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"22";"Competencias sociales y cívicas";"3";"14";"17";"77";"2";"9";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"22";"Sentido de iniciativa y espíritu emprendedor";"6";"27";"14";"64";"2";"9";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"22";"Conciencia y expresiones culturales";"2";"9";"14";"64";"2";"9";"4";"18";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"87";"Comunicación lingüística";"32";"37";"40";"46";"13";"15";"2";"2";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"87";"Competencia matemática y competencias básicas en ciencia y tecnología";"38";"44";"36";"41";"11";"13";"2";"2";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"87";"Competencia digital";"6";"7";"66";"76";"12";"14";"3";"3";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"87";"Aprender a aprender";"25";"29";"48";"55";"11";"13";"3";"3";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"87";"Competencias sociales y cívicas";"6";"7";"63";"72";"12";"14";"6";"7";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"87";"Sentido de iniciativa y espíritu emprendedor";"20";"23";"55";"63";"9";"10";"3";"3";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"87";"Conciencia y expresiones culturales";"7";"8";"59";"68";"14";"16";"7";"8";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2A";"22";"Comunicación lingüística";"4";"18";"11";"50";"4";"18";"3";"14";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2A";"22";"Competencia matemática y competencias básicas en ciencia y tecnología";"7";"32";"6";"27";"7";"32";"2";"9";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2A";"22";"Competencia digital";"4";"18";"13";"59";"4";"18";"1";"5";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2A";"22";"Aprender a aprender";"4";"18";"12";"55";"5";"23";"1";"5";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2A";"22";"Competencias sociales y cívicas";"5";"23";"10";"45";"5";"23";"2";"9";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2A";"22";"Sentido de iniciativa y espíritu emprendedor";"5";"23";"10";"45";"5";"23";"2";"9";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2A";"22";"Conciencia y expresiones culturales";"3";"14";"7";"32";"9";"41";"3";"14";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2B";"22";"Comunicación lingüística";"8";"36";"9";"41";"4";"18";"1";"5";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2B";"22";"Competencia matemática y competencias básicas en ciencia y tecnología";"6";"27";"13";"59";"2";"9";"1";"5";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2B";"22";"Competencia digital";"6";"27";"14";"64";"1";"5";"1";"5";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2B";"22";"Aprender a aprender";"6";"27";"12";"55";"3";"14";"1";"5";"0";"0"
