"EVALUACIÓN";"ENSEÑANZA";"ESTUDIO";"GRUPO";"Nº ALU. GRUPO";"ITEM";"PA-Nº";"PA-%";"AD-Nº";"AD-%";"MA-Nº";"MA-%";"EX-Nº";"EX-%";"NO EVA.-Nº";"NO EVA.-%"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"25";"Comunicación lingüística";"8";"32";"11";"44";"5";"20";"0";"0";"1";"4"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"25";"Competencia matemática y competencias básicas en ciencia y tecnología";"15";"60";"7";"28";"2";"8";"0";"0";"1";"4"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"25";"Competencia digital";"3";"12";"13";"52";"8";"32";"0";"0";"1";"4"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"25";"Aprender a aprender";"5";"20";"15";"60";"4";"16";"0";"0";"1";"4"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"25";"Competencias sociales y cívicas";"2";"8";"17";"68";"5";"20";"0";"0";"1";"4"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"25";"Sentido de iniciativa y espíritu emprendedor";"5";"20";"12";"48";"7";"28";"0";"0";"1";"4"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"25";"Conciencia y expresiones culturales";"3";"12";"16";"64";"5";"20";"0";"0";"1";"4"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"24";"Comunicación lingüística";"8";"33";"10";"42";"4";"17";"0";"0";"2";"8"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"24";"Competencia matemática y competencias básicas en ciencia y tecnología";"16";"67";"6";"25";"0";"0";"0";"0";"2";"8"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"24";"Competencia digital";"1";"4";"21";"88";"0";"0";"0";"0";"2";"8"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"24";"Aprender a aprender";"8";"33";"13";"54";"1";"4";"0";"0";"2";"8"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"24";"Competencias sociales y cívicas";"1";"4";"19";"79";"2";"8";"0";"0";"2";"8"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"24";"Sentido de iniciativa y espíritu emprendedor";"4";"17";"17";"71";"1";"4";"0";"0";"2";"8"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"24";"Conciencia y expresiones culturales";"1";"4";"18";"75";"3";"12";"0";"0";"2";"8"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"24";"Comunicación lingüística";"14";"58";"8";"33";"2";"8";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"24";"Competencia matemática y competencias básicas en ciencia y tecnología";"8";"33";"15";"62";"1";"4";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"24";"Competencia digital";"2";"8";"22";"92";"0";"0";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"24";"Aprender a aprender";"9";"38";"10";"42";"5";"21";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"24";"Competencias sociales y cívicas";"3";"12";"18";"75";"3";"12";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"24";"Sentido de iniciativa y espíritu emprendedor";"7";"29";"16";"67";"1";"4";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"24";"Conciencia y expresiones culturales";"3";"12";"21";"88";"0";"0";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"25";"Comunicación lingüística";"11";"44";"11";"44";"3";"12";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"25";"Competencia matemática y competencias básicas en ciencia y tecnología";"11";"44";"9";"36";"5";"20";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"25";"Competencia digital";"9";"36";"14";"56";"2";"8";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"25";"Aprender a aprender";"7";"28";"15";"60";"3";"12";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"25";"Competencias sociales y cívicas";"4";"16";"13";"52";"8";"32";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"25";"Sentido de iniciativa y espíritu emprendedor";"6";"24";"13";"52";"6";"24";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"25";"Conciencia y expresiones culturales";"6";"24";"16";"64";"3";"12";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"98";"Comunicación lingüística";"41";"42";"40";"41";"14";"14";"0";"0";"3";"3"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"98";"Competencia matemática y competencias básicas en ciencia y tecnología";"50";"51";"37";"38";"8";"8";"0";"0";"3";"3"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"98";"Competencia digital";"15";"15";"70";"71";"10";"10";"0";"0";"3";"3"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"98";"Aprender a aprender";"29";"30";"53";"54";"13";"13";"0";"0";"3";"3"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"98";"Competencias sociales y cívicas";"10";"10";"67";"68";"18";"18";"0";"0";"3";"3"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"98";"Sentido de iniciativa y espíritu emprendedor";"22";"22";"58";"59";"15";"15";"0";"0";"3";"3"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"98";"Conciencia y expresiones culturales";"13";"13";"71";"72";"11";"11";"0";"0";"3";"3"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2A";"20";"Comunicación lingüística";"13";"65";"2";"10";"3";"15";"0";"0";"2";"10"
