"EVALUACIÓN";"ENSEÑANZA";"ESTUDIO";"GRUPO";"Nº ALU. GRUPO";"ITEM";"PA-Nº";"PA-%";"AD-Nº";"AD-%";"MA-Nº";"MA-%";"EX-Nº";"EX-%";"NO EVA.-Nº";"NO EVA.-%"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"26";"Comunicación lingüística";"11";"42";"12";"46";"2";"8";"1";"4";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"26";"Competencia matemática y competencias básicas en ciencia y tecnología";"11";"42";"12";"46";"2";"8";"1";"4";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"26";"Competencia digital";"5";"19";"19";"73";"1";"4";"1";"4";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"26";"Aprender a aprender";"11";"42";"11";"42";"2";"8";"2";"8";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"26";"Competencias sociales y cívicas";"6";"23";"17";"65";"3";"12";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"26";"Sentido de iniciativa y espíritu emprendedor";"11";"42";"9";"35";"4";"15";"2";"8";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"26";"Conciencia y expresiones culturales";"5";"19";"15";"58";"5";"19";"1";"4";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"26";"Comunicación lingüística";"8";"31";"12";"46";"5";"19";"1";"4";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"26";"Competencia matemática y competencias básicas en ciencia y tecnología";"11";"42";"10";"38";"2";"8";"3";"12";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"26";"Competencia digital";"4";"15";"16";"62";"6";"23";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"26";"Aprender a aprender";"6";"23";"14";"54";"2";"8";"4";"15";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"26";"Competencias sociales y cívicas";"2";"8";"18";"69";"4";"15";"2";"8";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"26";"Sentido de iniciativa y espíritu emprendedor";"8";"31";"12";"46";"1";"4";"5";"19";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"26";"Conciencia y expresiones culturales";"0";"0";"19";"73";"6";"23";"1";"4";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"28";"Comunicación lingüística";"7";"25";"15";"54";"6";"21";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"28";"Competencia matemática y competencias básicas en ciencia y tecnología";"11";"39";"11";"39";"5";"18";"1";"4";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"28";"Competencia digital";"4";"14";"19";"68";"5";"18";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"28";"Aprender a aprender";"5";"18";"18";"64";"4";"14";"1";"4";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"28";"Competencias sociales y cívicas";"5";"18";"17";"61";"6";"21";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"28";"Sentido de iniciativa y espíritu emprendedor";"6";"21";"20";"71";"1";"4";"1";"4";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"28";"Conciencia y expresiones culturales";"5";"18";"17";"61";"6";"21";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"27";"Comunicación lingüística";"8";"30";"7";"26";"10";"37";"2";"7";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"27";"Competencia matemática y competencias básicas en ciencia y tecnología";"9";"33";"12";"44";"4";"15";"2";"7";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"27";"Competencia digital";"7";"26";"9";"33";"9";"33";"2";"7";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"27";"Aprender a aprender";"10";"37";"8";"30";"6";"22";"3";"11";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"27";"Competencias sociales y cívicas";"7";"26";"9";"33";"6";"22";"5";"19";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"27";"Sentido de iniciativa y espíritu emprendedor";"11";"41";"6";"22";"10";"37";"0";"0";"0";"0"
"Segunda Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"27";"Conciencia y expresiones culturales";"5";"19";"10";"37";"11";"41";"1";"4";"0";"0"
