"EVALUACIÓN";"ENSEÑANZA";"ESTUDIO";"GRUPO";"Nº ALU. GRUPO";"ITEM";"PA-Nº";"PA-%";"AD-Nº";"AD-%";"MA-Nº";"MA-%";"EX-Nº";"EX-%";"NO EVA.-Nº";"NO EVA.-%"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"26";"Comunicación lingüística";"10";"38";"9";"35";"3";"12";"4";"15";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"26";"Competencia matemática y competencias básicas en ciencia y tecnología";"11";"42";"10";"38";"3";"12";"2";"8";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"26";"Competencia digital";"2";"8";"15";"58";"4";"15";"5";"19";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"26";"Aprender a aprender";"7";"27";"13";"50";"3";"12";"3";"12";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"26";"Competencias sociales y cívicas";"2";"8";"18";"69";"4";"15";"2";"8";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"26";"Sentido de iniciativa y espíritu emprendedor";"4";"15";"16";"62";"3";"12";"3";"12";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"26";"Conciencia y expresiones culturales";"2";"8";"15";"58";"6";"23";"3";"12";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"24";"Comunicación lingüística";"9";"38";"11";"46";"4";"17";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"24";"Competencia matemática y competencias básicas en ciencia y tecnología";"11";"46";"9";"38";"4";"17";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"24";"Competencia digital";"2";"8";"18";"75";"4";"17";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"24";"Aprender a aprender";"6";"25";"14";"58";"2";"8";"2";"8";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"24";"Competencias sociales y cívicas";"3";"12";"17";"71";"2";"8";"2";"8";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"24";"Sentido de iniciativa y espíritu emprendedor";"5";"21";"15";"62";"2";"8";"2";"8";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"24";"Conciencia y expresiones culturales";"3";"12";"16";"67";"5";"21";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"24";"Comunicación lingüística";"12";"50";"10";"42";"2";"8";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"24";"Competencia matemática y competencias básicas en ciencia y tecnología";"8";"33";"12";"50";"4";"17";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"24";"Competencia digital";"0";"0";"24";"100";"0";"0";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"24";"Aprender a aprender";"9";"38";"7";"29";"8";"33";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"24";"Competencias sociales y cívicas";"2";"8";"16";"67";"6";"25";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"24";"Sentido de iniciativa y espíritu emprendedor";"7";"29";"15";"62";"2";"8";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"24";"Conciencia y expresiones culturales";"2";"8";"17";"71";"5";"21";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"25";"Comunicación lingüística";"7";"28";"14";"56";"4";"16";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"25";"Competencia matemática y competencias básicas en ciencia y tecnología";"9";"36";"10";"40";"4";"16";"2";"8";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"25";"Competencia digital";"4";"16";"18";"72";"2";"8";"1";"4";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"25";"Aprender a aprender";"5";"20";"16";"64";"3";"12";"1";"4";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"25";"Competencias sociales y cívicas";"3";"12";"14";"56";"7";"28";"1";"4";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"25";"Sentido de iniciativa y espíritu emprendedor";"4";"16";"15";"60";"5";"20";"1";"4";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"25";"Conciencia y expresiones culturales";"4";"16";"16";"64";"3";"12";"2";"8";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"99";"Comunicación lingüística";"38";"38";"44";"44";"13";"13";"4";"4";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"99";"Competencia matemática y competencias básicas en ciencia y tecnología";"39";"39";"41";"41";"15";"15";"4";"4";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"99";"Competencia digital";"8";"8";"75";"76";"10";"10";"6";"6";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"99";"Aprender a aprender";"27";"27";"50";"51";"16";"16";"6";"6";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"99";"Competencias sociales y cívicas";"10";"10";"65";"66";"19";"19";"5";"5";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"99";"Sentido de iniciativa y espíritu emprendedor";"20";"20";"61";"62";"12";"12";"6";"6";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"99";"Conciencia y expresiones culturales";"11";"11";"64";"65";"19";"19";"5";"5";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2A";"20";"Comunicación lingüística";"6";"30";"11";"55";"3";"15";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2A";"20";"Competencia matemática y competencias básicas en ciencia y tecnología";"12";"60";"6";"30";"2";"10";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2A";"20";"Competencia digital";"8";"40";"9";"45";"3";"15";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2A";"20";"Aprender a aprender";"7";"35";"10";"50";"3";"15";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2A";"20";"Competencias sociales y cívicas";"6";"30";"12";"60";"2";"10";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2A";"20";"Sentido de iniciativa y espíritu emprendedor";"6";"30";"11";"55";"3";"15";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2A";"20";"Conciencia y expresiones culturales";"5";"25";"12";"60";"3";"15";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2B";"21";"Comunicación lingüística";"12";"57";"6";"29";"2";"10";"1";"5";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2B";"21";"Competencia matemática y competencias básicas en ciencia y tecnología";"10";"48";"9";"43";"2";"10";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2B";"21";"Competencia digital";"4";"19";"14";"67";"3";"14";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2B";"21";"Aprender a aprender";"8";"38";"11";"52";"1";"5";"1";"5";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2B";"21";"Competencias sociales y cívicas";"7";"33";"10";"48";"3";"14";"1";"5";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2B";"21";"Sentido de iniciativa y espíritu emprendedor";"5";"24";"11";"52";"4";"19";"1";"5";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2B";"21";"Conciencia y expresiones culturales";"4";"19";"13";"62";"4";"19";"0";"0";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2C";"19";"Comunicación lingüística";"4";"21";"6";"32";"5";"26";"4";"21";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2C";"19";"Competencia matemática y competencias básicas en ciencia y tecnología";"6";"32";"8";"42";"3";"16";"2";"11";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2C";"19";"Competencia digital";"3";"16";"10";"53";"4";"21";"2";"11";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2C";"19";"Aprender a aprender";"4";"21";"8";"42";"5";"26";"2";"11";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2C";"19";"Competencias sociales y cívicas";"3";"16";"7";"37";"7";"37";"2";"11";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2C";"19";"Sentido de iniciativa y espíritu emprendedor";"4";"21";"7";"37";"6";"32";"2";"11";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2C";"19";"Conciencia y expresiones culturales";"3";"16";"9";"47";"2";"11";"5";"26";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2D";"17";"Comunicación lingüística";"3";"18";"11";"65";"2";"12";"1";"6";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2D";"17";"Competencia matemática y competencias básicas en ciencia y tecnología";"7";"41";"8";"47";"1";"6";"1";"6";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2D";"17";"Competencia digital";"2";"12";"13";"76";"1";"6";"1";"6";"0";"0"
"Evaluación final ordinaria";"Educación Secundaria Obligatoria";"2º Educación Secundaria Obligatoria (LOMCE)";"ESO2D";"17";"Aprender a aprender";"3";"18";"11";"65";"2";"12";"1";"6";"0";"0"
