"EVALUACIÓN";"ENSEÑANZA";"ESTUDIO";"GRUPO";"Nº ALU. GRUPO";"ITEM";"PA-Nº";"PA-%";"AD-Nº";"AD-%";"MA-Nº";"MA-%";"EX-Nº";"EX-%";"NO EVA.-Nº";"NO EVA.-%"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"16";"Comunicación lingüística";"10";"63";"4";"25";"2";"13";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"16";"Competencia matemática y competencias básicas en ciencia y tecnología";"7";"44";"9";"56";"0";"0";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"16";"Competencia digital";"3";"19";"10";"63";"3";"19";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"16";"Aprender a aprender";"7";"44";"8";"50";"1";"6";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"16";"Competencias sociales y cívicas";"7";"44";"9";"56";"0";"0";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"16";"Sentido de iniciativa y espíritu emprendedor";"7";"44";"9";"56";"0";"0";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1A";"16";"Conciencia y expresiones culturales";"6";"38";"8";"50";"2";"13";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"18";"Comunicación lingüística";"9";"50";"6";"33";"2";"11";"0";"0";"1";"6"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"18";"Competencia matemática y competencias básicas en ciencia y tecnología";"10";"56";"5";"28";"2";"11";"0";"0";"1";"6"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"18";"Competencia digital";"2";"11";"13";"72";"2";"11";"0";"0";"1";"6"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"18";"Aprender a aprender";"6";"33";"10";"56";"1";"6";"0";"0";"1";"6"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"18";"Competencias sociales y cívicas";"5";"28";"10";"56";"2";"11";"0";"0";"1";"6"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"18";"Sentido de iniciativa y espíritu emprendedor";"5";"28";"12";"67";"0";"0";"0";"0";"1";"6"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1B";"18";"Conciencia y expresiones culturales";"5";"28";"11";"61";"1";"6";"0";"0";"1";"6"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"24";"Comunicación lingüística";"11";"46";"10";"42";"3";"13";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"24";"Competencia matemática y competencias básicas en ciencia y tecnología";"13";"54";"9";"38";"2";"8";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"24";"Competencia digital";"10";"42";"12";"50";"2";"8";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"24";"Aprender a aprender";"11";"46";"11";"46";"2";"8";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"24";"Competencias sociales y cívicas";"10";"42";"13";"54";"1";"4";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"24";"Sentido de iniciativa y espíritu emprendedor";"10";"42";"12";"50";"2";"8";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1C";"24";"Conciencia y expresiones culturales";"9";"38";"13";"54";"2";"8";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"20";"Comunicación lingüística";"6";"30";"14";"70";"0";"0";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"20";"Competencia matemática y competencias básicas en ciencia y tecnología";"13";"65";"6";"30";"1";"5";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"20";"Competencia digital";"5";"25";"14";"70";"1";"5";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"20";"Aprender a aprender";"5";"25";"14";"70";"1";"5";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"20";"Competencias sociales y cívicas";"4";"20";"15";"75";"1";"5";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"20";"Sentido de iniciativa y espíritu emprendedor";"5";"25";"15";"75";"0";"0";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"ESO1D";"20";"Conciencia y expresiones culturales";"6";"30";"13";"65";"1";"5";"0";"0";"0";"0"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"78";"Comunicación lingüística";"36";"46";"34";"44";"7";"9";"0";"0";"1";"1"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"78";"Competencia matemática y competencias básicas en ciencia y tecnología";"43";"55";"29";"37";"5";"6";"0";"0";"1";"1"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"78";"Competencia digital";"20";"26";"49";"63";"8";"10";"0";"0";"1";"1"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"78";"Aprender a aprender";"29";"37";"43";"55";"5";"6";"0";"0";"1";"1"
"Primera Evaluación";"Educación Secundaria Obligatoria";"1º Educación Secundaria Obligatoria (LOMCE)";"TOTAL ESTUDIO";"78";"Competencias sociales y cívicas";"26";"33";"47";"60";"4";"5";"0";"0";"1";"1"
